MCS,min,max
0,0.0,3.9982879755611993
1,4.002797722698173,5.694047137494524
2,5.700791915278499,5.996879682753086
3,5.997681412413968,6.328760369393066
4,6.331388480195791,6.689905484212643
5,6.690567122449735,7.06855248942429
6,7.070664178432121,7.4639815231415
7,7.465450542712221,7.871935448313131
8,7.87350005099824,8.291678337125495
9,8.292642945360772,9.219661466665947
10,9.220858449078285,9.655894574940941
11,9.658435017812383,10.098480254974692
12,10.098657296617485,10.546163813566286
13,10.546357949590274,10.9985228683848
14,10.998854198869497,11.455262648282286
15,11.455356501733103,11.91530147855407
16,11.915586369162972,12.878655706732978
17,12.87893128726476,13.344650802196117
18,13.345156377282759,13.813783087958795
19,13.814081029776768,14.284631252854224
20,14.28483919285071,14.757592869024592
21,14.757810598338825,15.232403811882094
22,15.232475777307677,15.708709799274132
23,15.709023445284986,16.18662310952518
24,16.18664544524885,16.665813410925328
25,16.66604596291636,17.14607437521602
26,17.14636195449953,17.627713563383153
27,17.627955136728186,18.110145181835577
28,18.11042518916819,25.0
